id,workDate,workTimeS,workTimeE,workHour,workOver,dinnerTime,lunchTime,status,overTimeReason,createdAt,updatedAt,__v
12121701,20210102,20210102090000,20210102180000,480,0,0,60,1,,2021-02-04T14:21:49.284Z,2021-02-04T14:22:26.069Z,0
12121701,20210103,20210103090000,20210103180000,480,0,0,60,1,,2021-02-04T13:56:49.367Z,2021-02-04T13:57:25.027Z,0
12121701,20210104,20210104090000,20210104180000,480,0,0,60,1,,2021-02-04T14:21:49.284Z,2021-02-04T14:22:26.069Z,0
12121701,20210105,20210105090000,20210105180000,480,0,0,60,1,,2021-02-04T13:56:49.367Z,2021-02-04T13:57:25.027Z,0
12121701,20210106,20210106090000,20210106180000,480,0,0,60,1,,2021-02-04T14:21:49.284Z,2021-02-04T14:22:26.069Z,0
12121701,20210107,20210107090000,20210107180000,480,0,0,60,1,,2021-02-04T13:56:49.367Z,2021-02-04T13:57:25.027Z,0
12121701,20210108,20210108090000,20210108180000,480,0,0,60,1,,2021-02-04T14:21:49.284Z,2021-02-04T14:22:26.069Z,0
12121701,20210111,20210111090000,20210111180000,480,0,0,60,1,,2021-02-04T13:56:49.367Z,2021-02-04T13:57:25.027Z,0
12121701,20210112,20210112090000,20210112180000,480,0,0,60,1,,2021-02-04T14:21:49.284Z,2021-02-04T14:22:26.069Z,0
12121701,20210113,20210113090000,20210113180000,480,0,0,60,1,,2021-02-04T13:56:49.367Z,2021-02-04T13:57:25.027Z,0
12121701,20210114,20210114090000,20210114180000,480,0,0,60,1,,2021-02-04T14:21:49.284Z,2021-02-04T14:22:26.069Z,0
12121701,20210115,20210115090000,20210115180000,480,0,0,60,1,,2021-02-04T13:56:49.367Z,2021-02-04T13:57:25.027Z,0
12121701,20210118,20210118090000,20210118180000,480,0,0,60,1,,2021-02-04T14:21:49.284Z,2021-02-04T14:22:26.069Z,0
12121701,20210119,20210119090000,20210119200000,600,60,60,60,1,,2021-02-04T13:56:49.367Z,2021-02-04T13:57:25.027Z,0
12121701,20210120,20210120090000,20210120210000,660,120,60,60,1,,2021-02-04T14:21:49.284Z,2021-02-04T14:22:26.069Z,0
12121701,20210121,20210121090000,20210121180000,480,0,0,60,1,,2021-02-04T13:56:49.367Z,2021-02-04T13:57:25.027Z,0
12121701,20210122,20210122090000,20210122180000,480,0,0,60,1,,2021-02-04T14:21:49.284Z,2021-02-04T14:22:26.069Z,0
12121701,20210125,20210125090000,20210125180000,480,0,0,60,1,,2021-02-04T13:56:49.367Z,2021-02-04T13:57:25.027Z,0
12121701,20210126,20210126090000,20210126180000,480,0,0,60,1,,2021-02-04T14:21:49.284Z,2021-02-04T14:22:26.069Z,0
12121701,20210127,20210127090000,20210127180000,480,0,0,60,1,,2021-02-04T13:56:49.367Z,2021-02-04T13:57:25.027Z,0
12121701,20210128,20210128090000,20210128180000,480,0,0,60,1,,2021-02-04T14:21:49.284Z,2021-02-04T14:22:26.069Z,0
12121701,20210129,20210129090000,20210129180000,480,0,0,60,1,,2021-02-04T13:56:49.367Z,2021-02-04T13:57:25.027Z,0
12121701,20210201,20210201090000,20210201180000,480,0,0,60,1,,2021-02-04T14:21:49.284Z,2021-02-04T14:22:26.069Z,0
12121701,20210202,20210202090000,20210202180000,480,0,0,60,1,,2021-02-04T13:56:49.367Z,2021-02-04T13:57:25.027Z,0
12121701,20210203,20210203090000,20210203180000,480,0,0,60,1,,2021-02-04T14:21:49.284Z,2021-02-04T14:22:26.069Z,0
12121701,20210204,20210204090000,20210204180000,480,0,0,60,1,,2021-02-04T13:56:49.367Z,2021-02-04T13:57:25.027Z,0
